id;Статус;Группа;Курс;Факультет;Кафедра;Шифр направления;Название направления;Профиль;Форма обучения;Уровень образования
1547;Академический отпуск;1ММб-1П;4;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.03.01;Материаловедение и технологии материалов;Материаловедение в машиностроении;Очная форма;Бакалавриат
1548;Обучается;1ММб-1П;4;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.03.01;Материаловедение и технологии материалов;Материаловедение в машиностроении;Очная форма;Бакалавриат
1549;Обучается;1ММб-1П;4;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.03.01;Материаловедение и технологии материалов;Материаловедение в машиностроении;Очная форма;Бакалавриат
1550;Обучается;1ММб-1П;4;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.03.01;Материаловедение и технологии материалов;Материаловедение в машиностроении;Очная форма;Бакалавриат
1551;Обучается;1ММб-1П;4;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.03.01;Материаловедение и технологии материалов;Материаловедение в машиностроении;Очная форма;Бакалавриат
1552;Обучается;1ММб-1П;4;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.03.01;Материаловедение и технологии материалов;Материаловедение в машиностроении;Очная форма;Бакалавриат
1553;Академический отпуск;1ММб-1П;4;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.03.01;Материаловедение и технологии материалов;Материаловедение в машиностроении;Очная форма;Бакалавриат
1554;Обучается;1ММб-1П;4;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.03.01;Материаловедение и технологии материалов;Материаловедение в машиностроении;Очная форма;Бакалавриат
1555;Обучается;4ММб-3П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.03.02;Металлургия;Инновационные технологии металлургических процессов;Очная форма;Бакалавриат
1556;Обучается;4ММб-3П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.03.02;Металлургия;Инновационные технологии металлургических процессов;Очная форма;Бакалавриат
1557;Обучается;4ММб-3П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.03.02;Металлургия;Инновационные технологии металлургических процессов;Очная форма;Бакалавриат
1558;Обучается;4ММб-3П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.03.02;Металлургия;Инновационные технологии металлургических процессов;Очная форма;Бакалавриат
1559;Обучается;4ММб-3П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.03.02;Металлургия;Инновационные технологии металлургических процессов;Очная форма;Бакалавриат
1560;Обучается;4ММб-3П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.03.02;Металлургия;Инновационные технологии металлургических процессов;Очная форма;Бакалавриат
1561;Обучается;4ММб-3П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.03.02;Металлургия;Инновационные технологии металлургических процессов;Очная форма;Бакалавриат
1562;Обучается;4ММб-3П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.03.02;Металлургия;Инновационные технологии металлургических процессов;Очная форма;Бакалавриат
1563;Обучается;4ММб-3П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.03.02;Металлургия;Инновационные технологии металлургических процессов;Очная форма;Бакалавриат
1564;Обучается;4ММб-3П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.03.02;Металлургия;Инновационные технологии металлургических процессов;Очная форма;Бакалавриат
1565;Обучается;4ММб-3П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.03.02;Металлургия;Инновационные технологии металлургических процессов;Очная форма;Бакалавриат
1566;Обучается;4ММб-3П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.03.02;Металлургия;Инновационные технологии металлургических процессов;Очная форма;Бакалавриат
1567;Обучается;4ММб-3П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.03.02;Металлургия;Инновационные технологии металлургических процессов;Очная форма;Бакалавриат
1568;Обучается;4ММб-3П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.03.02;Металлургия;Инновационные технологии металлургических процессов;Очная форма;Бакалавриат
1569;Обучается;4ММб-3П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.03.02;Металлургия;Инновационные технологии металлургических процессов;Очная форма;Бакалавриат
1570;Обучается;4ММм-1;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.04.01;Материаловедение и технологии материалов;Материаловедение и технологии машиностроительных материалов;Очная форма;Магистратура
1571;Обучается;4ММм-1;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.04.01;Материаловедение и технологии материалов;Материаловедение и технологии машиностроительных материалов;Очная форма;Магистратура
1572;Обучается;4ММм-1;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.04.01;Материаловедение и технологии материалов;Материаловедение и технологии машиностроительных материалов;Очная форма;Магистратура
1573;Обучается;4ММм-1;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.04.01;Материаловедение и технологии материалов;Материаловедение и технологии машиностроительных материалов;Очная форма;Магистратура
1574;Обучается;4ММм-1;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.04.01;Материаловедение и технологии материалов;Материаловедение и технологии машиностроительных материалов;Очная форма;Магистратура
1575;Обучается;4ММм-1;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.04.01;Материаловедение и технологии материалов;Материаловедение и технологии машиностроительных материалов;Очная форма;Магистратура
1576;Обучается;4ММм-1;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.04.01;Материаловедение и технологии материалов;Материаловедение и технологии машиностроительных материалов;Очная форма;Магистратура
1577;Обучается;3ММм-1;2;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.04.01;Материаловедение и технологии материалов;Материаловедение и технологии машиностроительных материалов;Очная форма;Магистратура
1578;Академический отпуск;3ММм-1;2;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.04.01;Материаловедение и технологии материалов;Материаловедение и технологии машиностроительных материалов;Очная форма;Магистратура
1579;Обучается;3ММм-1;2;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.04.01;Материаловедение и технологии материалов;Материаловедение и технологии машиностроительных материалов;Очная форма;Магистратура
1580;Обучается;3ММм-1;2;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.04.01;Материаловедение и технологии материалов;Материаловедение и технологии машиностроительных материалов;Очная форма;Магистратура
1581;Обучается;3ММм-1;2;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.04.01;Материаловедение и технологии материалов;Материаловедение и технологии машиностроительных материалов;Очная форма;Магистратура
1582;Обучается;3ММм-1;2;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Материаловедение и технология новых материалов» (МТНМ);22.04.01;Материаловедение и технологии материалов;Материаловедение и технологии машиностроительных материалов;Очная форма;Магистратура
1583;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1584;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1585;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1586;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1587;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1588;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1589;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1590;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1591;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1592;Академический отпуск;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1593;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1594;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1595;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1596;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1597;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1598;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1599;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1600;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1601;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1602;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1603;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1604;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1605;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1606;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1607;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1608;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1609;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1610;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1611;Обучается;4МСб-2П;1;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.01;Машиностроение;Технология машиностроения;Очная форма;Бакалавриат
1612;Обучается;2ОНб-1;3;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1613;Обучается;2ОНб-1;3;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1614;Обучается;2ОНб-1;3;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1615;Обучается;2ОНб-1;3;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1616;Обучается;2ОНб-1;3;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1617;Обучается;2ОНб-1;3;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1618;Обучается;2ОНб-1;3;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1619;Обучается;2ОНб-1;3;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1620;Обучается;2ОНб-2П;3;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1621;Обучается;2ОНб-2П;3;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1622;Обучается;2ОНб-2П;3;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1623;Обучается;2ОНб-2П;3;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1624;Обучается;2ОНб-2П;3;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1625;Обучается;2ОНб-2П;3;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1626;Академический отпуск;2ОНб-2П;3;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1627;Обучается;2ОНб-2П;3;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1628;Обучается;2ОНб-2П;3;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1629;Обучается;2ОНб-2П;3;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1630;Обучается;2ОНб-2П;3;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1631;Обучается;1ОНб-1П;4;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1632;Обучается;1ОНб-1П;4;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1633;Обучается;1ОНб-1П;4;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1634;Обучается;1ОНб-1П;4;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1635;Обучается;1ОНб-1П;4;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1636;Обучается;1ОНб-1П;4;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.02;Технологические машины и оборудование;Оборудование нефтегазопереработки;Очная форма;Бакалавриат
1637;Обучается;3МСб-2П;2;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.05;Конструкторско-технологическое обеспечение машиностроительных производств;Технология машиностроения;Очная форма;Бакалавриат
1638;Обучается;3МСб-2П;2;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.05;Конструкторско-технологическое обеспечение машиностроительных производств;Технология машиностроения;Очная форма;Бакалавриат
1639;Обучается;3МСб-2П;2;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.05;Конструкторско-технологическое обеспечение машиностроительных производств;Технология машиностроения;Очная форма;Бакалавриат
1640;Обучается;3МСб-2П;2;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.05;Конструкторско-технологическое обеспечение машиностроительных производств;Технология машиностроения;Очная форма;Бакалавриат
1641;Обучается;3МСб-2П;2;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.05;Конструкторско-технологическое обеспечение машиностроительных производств;Технология машиностроения;Очная форма;Бакалавриат
1642;Обучается;3МСб-2П;2;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.05;Конструкторско-технологическое обеспечение машиностроительных производств;Технология машиностроения;Очная форма;Бакалавриат
1643;Обучается;3МСб-2П;2;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.05;Конструкторско-технологическое обеспечение машиностроительных производств;Технология машиностроения;Очная форма;Бакалавриат
1644;Обучается;3МСб-2П;2;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.05;Конструкторско-технологическое обеспечение машиностроительных производств;Технология машиностроения;Очная форма;Бакалавриат
1645;Обучается;3МСб-2П;2;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.05;Конструкторско-технологическое обеспечение машиностроительных производств;Технология машиностроения;Очная форма;Бакалавриат
1646;Академический отпуск;3МСб-2П;2;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.05;Конструкторско-технологическое обеспечение машиностроительных производств;Технология машиностроения;Очная форма;Бакалавриат
1647;Обучается;3МСб-2П;2;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.05;Конструкторско-технологическое обеспечение машиностроительных производств;Технология машиностроения;Очная форма;Бакалавриат
1648;Обучается;3МСб-2П;2;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.05;Конструкторско-технологическое обеспечение машиностроительных производств;Технология машиностроения;Очная форма;Бакалавриат
1649;Обучается;3МСб-2П;2;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.05;Конструкторско-технологическое обеспечение машиностроительных производств;Технология машиностроения;Очная форма;Бакалавриат
1650;Обучается;3МСб-2П;2;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.05;Конструкторско-технологическое обеспечение машиностроительных производств;Технология машиностроения;Очная форма;Бакалавриат
1651;Обучается;3МСб-2П;2;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.05;Конструкторско-технологическое обеспечение машиностроительных производств;Технология машиностроения;Очная форма;Бакалавриат
1652;Академический отпуск;3МСб-2П;2;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.05;Конструкторско-технологическое обеспечение машиностроительных производств;Технология машиностроения;Очная форма;Бакалавриат
1653;Академический отпуск;3МСб-2П;2;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.05;Конструкторско-технологическое обеспечение машиностроительных производств;Технология машиностроения;Очная форма;Бакалавриат
1654;Обучается;3МСб-2П;2;Факультет машиностроительных и химических технологий (ФМХТ);Кафедра «Машиностроение» (МС);15.03.05;Конструкторско-технологическое обеспечение машиностроительных производств;Технология машиностроения;Очная форма;Бакалавриат
